"hex_id","PLOT","INVYR","STATECD","UNITCD","COUNTYCD","lidarYear","ID","distYear","brightness","greenness","wetness","ndvi","gndvi","nbr","g_ratio","b1","b2","b3","b4","b5","b7"
1,76297,2010,41,0,5,2014,3,0,3173.53857421875,1597.76928710938,288.592651367188,0.796052038669586,0.676396489143372,0.721206247806549,2618.57153320312,1032.8740234375,789.646911621094,625.389709472656,367.939849853516,3243.96142578125,525.799133300781
2,76297,2010,41,0,5,2014,3,0,3732.96508789062,1428.38061523438,-84.2235679626465,0.710804641246796,0.621529430150986,0.602253973484039,2579.65979003906,1072.724609375,860.588623046875,785.635925292969,569.733856201172,3365.29565429688,838.890960693359
3,76297,2010,41,0,5,2014,3,0,3171.98608398438,1682.42358398438,370.193176269531,0.807179749011993,0.690811455249786,0.743782162666321,2722.041015625,1032.32482910156,788.695007324219,607.78173828125,354.415618896484,3329.82275390625,489.007110595703
4,76297,2010,41,0,5,2014,3,0,3153.33532714844,1598.88763427734,308.809856414795,0.796666547656059,0.678412869572639,0.726814702153206,2618.748046875,1034.51538085938,792.939392089844,619.328918457031,365.810447692871,3238.07708740234,513.863838195801
5,76297,2010,41,0,5,2014,3,0,2871.04284667969,1440.62658691406,361.077003479004,0.788461402058601,0.670153394341469,0.739076301455498,2378.49896240234,1031.09687805176,786.98957824707,581.240829467773,348.465339660645,2959.73986816406,447.033432006836
6,76297,2010,41,0,5,2014,3,0,3330.20617675781,1658.72735595703,265.327217102051,0.791837483644485,0.674635291099548,0.710801184177399,2724.38854980469,1041.38391113281,802.539306640625,656.990783691406,392.843017578125,3381.37939453125,572.608581542969
7,76297,2010,41,0,5,2014,3,0,2891.75524902344,1476.97509765625,375.511932373047,0.794122725725174,0.674109488725662,0.746973007917404,2421.67224121094,1028.91510009766,785.62939453125,581.374481201172,342.28271484375,3003.04675292969,438.971817016602
8,76297,2010,41,0,5,2014,3,0,3783.60412597656,1508.75067138672,-57.7102394104004,0.723921954631805,0.631642520427704,0.615353673696518,2680.20458984375,1071.51312255859,855.925354003906,783.847534179688,558.387512207031,3464.05212402344,832.028076171875
9,76297,2010,41,0,5,2014,3,0,2820.27429199219,1382.98779296875,384.933227539062,0.776503145694733,0.66058212518692,0.738112062215805,2303.68896484375,1037.94555664062,795.486175537109,590.053436279297,365.101501464844,2893.74243164062,444.844497680664
10,76297,2010,41,0,5,2014,3,0,2788.34952799479,1410.97819010417,406.903330485026,0.787096301714579,0.666672845681508,0.752674957116445,2321.71590169271,1030.01534016927,785.669698079427,577.097188313802,343.749206542969,2898.81306966146,414.015869140625
11,76297,2010,41,0,5,2014,3,0,2903.95385742188,1455.69006347656,396.481506347656,0.783544421195984,0.659302532672882,0.748201608657837,2387.4560546875,1036.04614257812,791.378234863281,612.4462890625,362.177947998047,2999.90234375,437.385803222656
12,76297,2010,41,0,5,2014,3,0,3454.18994140625,829.820007324219,-408.574859619141,0.597148716449738,0.544436573982239,0.454824566841125,1884.66247558594,1090.41528320312,892.689575195312,776.653503417969,662.746643066406,2661.31591796875,984.844055175781
13,76297,2010,41,0,5,2014,3,0,2984.64892578125,1277.56262207031,260.894561767578,0.733612954616547,0.62375396490097,0.700549006462097,2211.94482421875,1043.62805175781,816.006896972656,666.96533203125,446.973052978516,2878.91015625,523.518798828125
14,76297,2010,41,0,5,2014,3,0,3825.84106445312,1808.71911621094,131.760360717773,0.774733424186707,0.665600538253784,0.671755909919739,3010.5068359375,1064.12841796875,831.621459960938,756.141418457031,478.590423583984,3766.64819335938,741.312622070312
15,60634,2010,41,0,5,2014,4,0,3591.751953125,1120.75280761719,-155.26594543457,0.642046332359314,0.580985367298126,0.556072533130646,2227.12841796875,1090.69348144531,882.354248046875,802.883056640625,662.191833496094,3030.01147460938,869.716979980469
16,60634,2010,41,0,5,2014,4,0,3379.16168212891,1651.83660888672,263.188190460205,0.782311409711838,0.66583839058876,0.707726821303368,2724.81616210938,1048.95471191406,809.163269042969,681.893981933594,416.235000610352,3406.71014404297,591.659576416016
17,60634,2010,41,0,5,2014,4,0,3989.26684570312,483.201995849609,-548.982543945312,0.479049324989319,0.458992004394531,0.350224703550339,1703.43090820312,1391.45227050781,1210.02160644531,1008.30810546875,961.100646972656,2711.73901367188,1305.15478515625
18,60634,2010,41,0,5,2014,4,0,3689.7607421875,214.110733032227,-759.014282226562,0.427603542804718,0.413717180490494,0.24985434114933,1324.11828613281,1307.73986816406,1138.93347167969,945.590637207031,916.0703125,2269.708984375,1356.27062988281
19,60634,2010,41,0,5,2014,4,0,2405.49340820312,1180.72888183594,516.517822265625,0.766346454620361,0.631424427032471,0.789941191673279,1948.62438964844,1025.08190917969,781.08056640625,567.752807617188,332.439239501953,2516.37719726562,295.927642822266
20,60634,2010,41,0,5,2014,4,0,4761.74243164062,247.096961975098,-303.94856262207,0.385856404900551,0.357206970453262,0.33088755607605,1557.90014648438,1661.94775390625,1495.86254882812,1540.87371826172,1430.81091308594,3098.77392578125,1570.05310058594
21,60634,2010,41,0,5,2014,4,0,4072.37744140625,227.573379516602,-571.553085327148,0.412418588995934,0.40314844250679,0.286186821758747,1458.87536621094,1485.50720214844,1344.76293945312,1113.28964233398,1093.08233642578,2572.1650390625,1404.15014648438
22,60634,2010,41,0,5,2014,4,0,2270.3369140625,1082.37512207031,518.997253417969,0.755967497825623,0.615501999855042,0.803119003772736,1796.32983398438,1020.96337890625,771.90234375,560.434265136719,327.321899414062,2356.76416015625,257.890441894531
