SOURCE,TARGET_ECOREGION,TRAIN_ECOREGION,WEIGHTED,MODEL,METRIC,TARGET,SCORE
sentinel,North Cascades,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,19.880451111282795
sentinel,North Cascades,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,0.343002412397848
sentinel,North Cascades,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,-9.744141217390853
sentinel,North Cascades,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.16811811390001727
sentinel,North Cascades,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,26.070622018949432
sentinel,North Cascades,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,0.449802984608185
sentinel,North Cascades,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,21.343930729176694
sentinel,North Cascades,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,0.36825219353323685
sentinel,North Cascades,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,7.927949516785361
sentinel,North Cascades,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.136782902681843
sentinel,Northern Rockies,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,17.057600962577464
sentinel,Northern Rockies,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.44708673800712684
sentinel,Northern Rockies,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,13.031232819268004
sentinel,Northern Rockies,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,0.3415539726928636
sentinel,Northern Rockies,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,-2.164094729082971
sentinel,Northern Rockies,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.056721813066608624
sentinel,Northern Rockies,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,18.80228690012838
sentinel,Northern Rockies,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,0.49281567412058364
sentinel,Northern Rockies,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,15.349219654278237
sentinel,Northern Rockies,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,0.40230936116055077
sentinel,Northern Rockies,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,7.462572721276162
sentinel,Northern Rockies,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.1955971008124804
sentinel,Puget Lowland,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,29.400097171871465
sentinel,Puget Lowland,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.4308468431877672
sentinel,Puget Lowland,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,24.392191347426948
sentinel,Puget Lowland,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,0.3574579559732081
sentinel,Puget Lowland,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,-20.937095010705825
sentinel,Puget Lowland,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.30682488014071907
sentinel,Puget Lowland,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,24.53204836026243
sentinel,Puget Lowland,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,0.3595075054058368
sentinel,Puget Lowland,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,19.762455030880346
sentinel,Puget Lowland,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,0.28961099393376627
sentinel,Puget Lowland,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,-11.079108314834139
sentinel,Puget Lowland,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.1623599682299207
sentinel,Willamette Valley,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,22.68448223561413
sentinel,Willamette Valley,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.3543813888487034
sentinel,Willamette Valley,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,18.783802099933705
sentinel,Willamette Valley,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,0.2934442059066677
sentinel,Willamette Valley,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,-17.768610848938575
sentinel,Willamette Valley,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.27758469094229776
sentinel,Willamette Valley,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,30.31443360358167
sentinel,Willamette Valley,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,0.4735779715409598
sentinel,Willamette Valley,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,27.409765554661877
sentinel,Willamette Valley,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,0.42820068293330643
sentinel,Willamette Valley,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,-26.434339076413522
sentinel,Willamette Valley,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.4129623809746771
sentinel,Blue Mountains,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,19.937387066967805
sentinel,Blue Mountains,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.6350135701072367
sentinel,Blue Mountains,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,13.791758581031207
sentinel,Blue Mountains,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.43927290096644067
sentinel,Blue Mountains,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,-4.973316723016092
sentinel,Blue Mountains,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.15840208132332648
sentinel,Blue Mountains,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,21.275803307404423
sentinel,Blue Mountains,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.6776426504513353
sentinel,Blue Mountains,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,15.97182349648113
sentinel,Blue Mountains,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.5087088205468459
sentinel,Blue Mountains,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,-12.501594564090952
sentinel,Blue Mountains,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.39818067279886443
sentinel,Coast Range,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,17.87950501583648
sentinel,Coast Range,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.2524398163231795
