uuid,lidar_year,num_returns,strat0_return-proportion,strat1_return-proportion,strat2_return-proportion,strat3_return-proportion,strat4_return-proportion,strat5_return-proportion,skewness,kurtosis,strat0_intensity-median,strat1_intensity-median,strat2_intensity-median,strat3_intensity-median,strat4_intensity-median,strat5_intensity-median,height_05-percentile,height_25-percentile,height_50-percentile,height_75-percentile,height_95_percentile,height_max,cover,lidar_acq,potential_volume,stddev_height,surface_area_ratio,surface_volume,surface_volume_ratio,aspect,elevation,overall_curvature,plan_curvature,profile_curvature,slope,solar_radiation_index
01e2f8e2,2006,7073,0.185636,0.125124,0.155662,0.306942,0.067864,0.002404,0.740025,2.671437,30.0,26.0,23.0,14.0,22.0,22.0,0.0,0.36,6.04,13.15,21.940001,33.709999,68.924077,ahtanum_2006,2724.5,6.4168148040771475,6.137603759765625,1074.9287109375,0.37125998735427856,348.85028076171875,1718.7646484375,0.9216499924659728,-0.05454999953508377,0.5012000203132629,12.469949722290039,1.5290999412536619
01e3ace7,2011,2721,0.213157,0.248806,0.012128,0.019478,0.076442,0.371922,0.280926,1.230957,109.5,91.0,44.0,14.0,24.0,68.5,0.0,0.22,1.84,34.700001,40.869999,45.939999,53.803749,pierce_2011,4091.5,13.929716110229492,10.205487251281738,1888.610107421875,0.4596425294876098,253.10189819335938,515.3960571289061,-0.6880999803543091,0.2305999994277954,-0.10979999601840973,5.552299976348877,1.7029500007629397
01e9ed92,2016,40485,0.089762,0.071088,0.105842,0.253649,0.184463,0.233667,0.139191,1.75023,15613.0,8994.5,10031.0,10749.0,15372.0,22878.0,0.0,6.36,16.549999,29.08,37.549999,61.580002,83.91503,mt-adams_2016,3891.999755859375,6.357948780059815,5.0382118225097665,1830.9853515625,0.6985830068588257,206.12319946289062,596.3475341796875,0.026399999856948853,-0.012749999761581421,-0.09919999539852142,12.026900291442873,1.8086500167846682
01ef37b1,2008,4614,0.016687999999999998,0.032943,0.019939,0.106415,0.105332,0.708713,-0.257142,1.873091,20.0,50.0,29.5,14.0,23.0,39.0,1.4,27.602501,49.220001,68.690002,79.7435,85.290001,95.036844,or-south-coast_2008,7632.5,15.696325302124025,8.808565139770508,4956.68994140625,0.6609064936637878,91.9727020263672,332.5849914550781,6.6392998695373535,0.4702999889850617,6.323699951171875,38.17359924316406,1.5307999849319458
0203859a,2006,9002,0.685625,0.09198,0.040991,0.07365,0.099311,0.0,1.8806209999999999,5.006044999999999,36.0,35.0,8.0,6.0,6.0,-9999.0,0.0,0.0,0.0,0.24,24.2395,29.1,22.239502,ahtanum_2006,2676.0,8.675691604614258,6.405336380004883,526.97021484375,0.1966865062713623,37.33965301513672,1525.318359375,-0.15399999916553495,0.06724999845027924,0.01940000057220459,7.553800106048584,1.6074999570846558
020bff70,2013,11351,0.049335,0.146066,0.106863,0.237776,0.171351,0.208175,0.556366,2.370374,102.0,100.0,50.0,44.0,50.0,46.0,0.15,3.46,15.05,27.634998,42.505001,60.23,80.45987099999998,tulalip_2013,4174.0,11.416259765625,7.4291019439697275,1551.1947021484375,0.43800899386405945,245.98809814453125,516.4168701171875,-2.2243001461029053,0.5388000011444092,-1.9271500110626218,11.47189998626709,1.6432499885559082
02177673,2012,6153,0.100601,0.050219,0.046481,0.082561,0.06240900000000001,0.5967819999999999,-0.522176,1.699756,8.0,7.0,6.0,4.0,4.0,5.0,0.0,9.34,34.290001000000004,40.810001,47.130001,51.849998,84.917926,chehalis_2012,4969.0,9.758708000183104,9.190921783447266,3498.411376953125,0.7229660153388977,53.49074935913086,141.5133514404297,6.604399681091309,-3.5001001358032227,2.7806999683380127,12.669849395751953,1.5978500843048096
0228e3ed,2006,1433,0.055129,0.07117899999999999,0.058618,0.033496,0.259595,0.48709,-0.9253399999999999,2.396825,9.0,10.5,7.5,8.0,5.5,11.0,0.04,17.120001000000002,29.74,33.73,39.262001,43.639999,87.369156,north-puget_2006,3852.5,5.667777061462402,7.051980972290039,2673.22900390625,0.6775945425033569,152.6027069091797,592.7855834960938,-5.2600998878479,4.08489990234375,-1.4513000249862669,21.153499603271484,1.8553999662399288
0228e3ed,2016,24885,0.0,0.0,0.0,0.0,0.0,1.0,-0.173037,1.692437,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,6203.0,48.049999,56.040001,72.32,79.510002,87.43,96.410004,100.0,wa-western_2016,9221.5,8.506528854370117,6.213136196136475,7867.1025390625,0.8746814727783203,148.3372039794922,593.855224609375,-3.5636000633239746,2.2613999843597408,-2.2300000190734863,19.98270034790039,1.8260999917984009
02297a4c,2012,3717,0.191552,0.050309,0.057573,0.165187,0.310734,0.17837,-0.053209000000000006,1.672954,159.0,135.0,27.5,22.0,20.0,80.0,0.0,2.09,19.379999,27.74,36.641998,42.790001,75.813828,hoh-river_2012,3312.5,6.470316886901856,4.1324987411499015,1681.990234375,0.4782925248146057,298.7479248046875,62.221900939941406,-2.7355000972747803,0.13785000145435333,-2.7151498794555664,14.501350402832033,1.608649969100952
022a14ed,2002,374,1.0,0.0,0.0,0.0,0.0,0.0,-1.#IND00,-1.#IND00,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,puget-sound-lowlands_2002,0.0,0.0,1.0,0.0,,64.12174987792969,499.6873474121094,-3.883699893951416,1.8956000804901123,-0.2740000188350677,27.334999084472656,1.4230999946594238
022a14ed,2011,3922,0.118562,0.047425,0.0,0.04717,0.5020399999999999,0.279704,-1.2270370000000002,3.177711,23.0,31.5,10.5,-9999.0,21.0,38.0,0.0,21.5,27.110001,30.33,35.060001,40.209999,83.401326,thurston_2011,3870.0,4.532020568847656,4.298571586608887,2909.9296875,0.7564564943313599,45.9228515625,499.8153991699219,-3.1532998085021973,0.5198500156402588,-0.6983000040054321,19.401599884033203,1.4763000011444092
0238aa2c,2017,16073,0.040067,0.13656400000000002,0.361351,0.19623,0.0,0.0,0.467228,2.383334,26.0,90.0,49.0,49.0,53.0,-9999.0,0.23,2.52,5.77,9.09,14.11,18.4,82.336838,king-county_2016-2017,1723.0,3.2269575595855717,3.2312505245208736,1001.4992065429688,0.5702530145645142,275.068603515625,1058.806884765625,0.9000000357627869,-0.1949000060558319,0.8091999888420105,11.582200050354006,1.6520500183105469
023cdca4,2015,37374,0.132472,0.067346,0.209584,0.21672800000000006,0.095574,0.055145000000000007,1.116644,3.4247910000000004,9347.0,7042.0,7833.5,6129.0,5777.0,9057.0,0.0,2.28,6.84,14.07,30.59,37.830002,80.018194,upper-rogue_2015,3130.0,8.547389030456543,4.768765926361084,1280.83251953125,0.3998569846153259,323.5111999511719,1365.833984375,-0.911300003528595,0.3034000098705292,-0.463349997997284,6.6487998962402335,1.6711000204086304
0242fa58,2016,7572,0.249208,0.06022200000000001,0.153196,0.222002,0.043714,0.0,1.03649,3.172684,62.0,53.5,45.0,42.0,45.0,-9999.0,0.0,0.15,3.04,10.592501,19.397001,27.08,69.057052,loomis-loup-loup_2016,1567.5,3.886552333831787,2.935358047485352,620.8626708984375,0.3503680229187012,82.28364562988281,1127.4166259765625,1.4905000925064087,-2.349800109863281,0.35749995708465576,13.579950332641602,1.5960500240325928
024aff64,2013,4675,0.062032,0.045348,0.099465,0.450695,0.288342,0.000214,-0.423016,2.182293,82.0,95.0,58.5,48.0,58.0,-9999.0,0.0,9.64,15.56,20.654999,24.863001,30.16,89.26203199999998,olympic-peninsula_2013,2755.0,5.42604923248291,3.920833110809326,1794.657470703125,0.657523512840271,157.83274841308594,257.47195434570307,0.44690001010894775,1.607349872589111,-0.501300036907196,26.453147888183594,1.8825500011444087
024c8fd9,2008,12272,0.02469,0.020127000000000003,0.031698000000000004,0.019231,0.021675,0.871252,-1.532586,4.729479,26.0,49.0,16.0,23.0,19.0,36.0,4.0775,46.259998,53.759998,60.110001,68.980003,77.400002,95.518253,or-south-coast_2008,6841.5,5.709941864013673,4.264490604400635,5768.2080078125,0.820683479309082,151.33474731445312,511.8207092285156,9.304349899291992,-4.3796000480651855,3.6461501121521,13.73449993133545,1.6869499683380127
026181b1,2014,6384,0.098841,0.10354,0.065789,0.193922,0.125313,0.293233,0.685645,2.217904,98.0,77.0,35.0,25.0,34.0,91.0,0.0,2.79,15.77,33.27,57.939999,65.660004,79.761905,lane-county_2014,6183.0,16.199211120605472,8.261764526367188,2869.897216796875,0.5166329741477966,125.4215087890625,211.13699340820312,-4.551549911499023,2.798650026321411,-1.0789499282836914,39.15730285644531,1.808899998664856
026a8fdb,2016,3999,0.21830500000000005,0.009252,0.112028,0.457614,0.16529100000000002,0.0,-0.175951,1.8177150000000002,79.0,61.0,30.0,32.0,36.0,-9999.0,0.0,3.965,12.97,18.17,23.603001000000006,27.690001,77.244311,loomis-loup-loup_2016,2561.0,7.65381908416748,4.456914901733398,1128.7716064453125,0.4599719941616058,276.47219848632807,1594.166259765625,11.088250160217283,-5.51924991607666,5.7828001976013175,23.46445083618164,1.5722999572753906
026fb508,2008,2565,0.044055,0.02885,0.063158,0.223392,0.516569,0.0,-0.712299,2.049228,134.0,84.0,93.0,41.5,77.0,-9999.0,0.25,9.26,20.280001,23.16,26.049999,29.290001,92.709552,or-south-coast_2008,2741.0,5.115715026855469,2.800652027130127,1850.306396484375,0.6785414814949036,66.62870025634766,386.95556640625,6.313799858093263,-1.1581000089645386,3.9032001495361333,39.52190017700195,1.4984999895095823
