TARGET_ECOREGION,TRAIN_ECOREGION,MODEL,METRIC,TARGET,SCORE
Blue Mountains,Cascades,RandomForestRegressor,rmse,total_cover,18.768989626279353
Blue Mountains,Cascades,RandomForestRegressor,nrmse,total_cover,0.5790795347490907
Blue Mountains,Cascades,RandomForestRegressor,mae,total_cover,16.352463998168503
Blue Mountains,Cascades,RandomForestRegressor,mape,total_cover,0.5045224827021135
Blue Mountains,Cascades,RandomForestRegressor,bias,total_cover,15.869753212575255
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,total_cover,-0.4896294094623944
Blue Mountains,Cascades,RandomForestRegressor,rmse,topht,15.782016913731663
Blue Mountains,Cascades,RandomForestRegressor,nrmse,topht,0.2651653365620066
Blue Mountains,Cascades,RandomForestRegressor,mae,topht,12.585443887468031
Blue Mountains,Cascades,RandomForestRegressor,mape,topht,0.21145734936445595
Blue Mountains,Cascades,RandomForestRegressor,bias,topht,10.814790946291561
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,topht,-0.18170729994757515
Blue Mountains,Cascades,RandomForestRegressor,rmse,qmd,4.415338932227198
Blue Mountains,Cascades,RandomForestRegressor,nrmse,qmd,0.3519871810686385
Blue Mountains,Cascades,RandomForestRegressor,mae,qmd,3.479201074519578
Blue Mountains,Cascades,RandomForestRegressor,mape,qmd,0.2773590425080665
Blue Mountains,Cascades,RandomForestRegressor,bias,qmd,-3.288328443587363
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,qmd,0.26214283366516
Blue Mountains,Cascades,RandomForestRegressor,rmse,tcuft,2347.0996724497936
Blue Mountains,Cascades,RandomForestRegressor,nrmse,tcuft,1.2674773646982405
Blue Mountains,Cascades,RandomForestRegressor,mae,tcuft,1657.5018823529408
Blue Mountains,Cascades,RandomForestRegressor,mape,tcuft,0.8950817651618148
Blue Mountains,Cascades,RandomForestRegressor,bias,tcuft,1608.0735999999995
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,tcuft,-0.8683895757360133
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,total_cover,22.465197067113273
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,total_cover,0.6931186027965982
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,total_cover,20.683281655850408
Blue Mountains,Cascades,HistGradientBoostingRegressor,mape,total_cover,0.6381411763148038
Blue Mountains,Cascades,HistGradientBoostingRegressor,bias,total_cover,20.658032912788013
Blue Mountains,Cascades,HistGradientBoostingRegressor,rel_bias,total_cover,-0.6373621769825702
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,topht,15.410212434793864
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,topht,0.2589183745715514
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,topht,12.947642683085624
Blue Mountains,Cascades,HistGradientBoostingRegressor,mape,topht,0.21754291916629334
Blue Mountains,Cascades,HistGradientBoostingRegressor,bias,topht,10.916312847509097
Blue Mountains,Cascades,HistGradientBoostingRegressor,rel_bias,topht,-0.1834130444827581
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,qmd,3.7249139874376413
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,qmd,0.2969470734379065
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,qmd,2.7442591765067874
Blue Mountains,Cascades,HistGradientBoostingRegressor,mape,qmd,0.21877008005207046
Blue Mountains,Cascades,HistGradientBoostingRegressor,bias,qmd,-2.5337828562665394
Blue Mountains,Cascades,HistGradientBoostingRegressor,rel_bias,qmd,0.2019910812526069
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,tcuft,2639.1425332709937
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,tcuft,1.4251859272946625
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,tcuft,2332.182396572516
Blue Mountains,Cascades,HistGradientBoostingRegressor,mape,tcuft,1.2594217589907617
Blue Mountains,Cascades,HistGradientBoostingRegressor,bias,tcuft,2327.1612247180615
Blue Mountains,Cascades,HistGradientBoostingRegressor,rel_bias,tcuft,-1.2567102330404647
Blue Mountains,Coast Range,ElasticNet,rmse,total_cover,10.6557779812094
Blue Mountains,Coast Range,ElasticNet,nrmse,total_cover,0.3287626600373136
Blue Mountains,Coast Range,ElasticNet,mae,total_cover,9.133166621549288
Blue Mountains,Coast Range,ElasticNet,mape,total_cover,0.28178554004780015
Blue Mountains,Coast Range,ElasticNet,bias,total_cover,2.7806100892959145
Blue Mountains,Coast Range,ElasticNet,rel_bias,total_cover,-0.08579014794560898
Blue Mountains,Coast Range,ElasticNet,rmse,topht,16.478441392049124
Blue Mountains,Coast Range,ElasticNet,nrmse,topht,0.2768664792101553
Blue Mountains,Coast Range,ElasticNet,mae,topht,14.74809624121636
Blue Mountains,Coast Range,ElasticNet,mape,topht,0.24779367078541029
Blue Mountains,Coast Range,ElasticNet,bias,topht,-8.571940287227614
Blue Mountains,Coast Range,ElasticNet,rel_bias,topht,0.1440235074944351
Blue Mountains,Coast Range,ElasticNet,rmse,qmd,3.9672417044342123
Blue Mountains,Coast Range,ElasticNet,nrmse,qmd,0.3162652393385696
Blue Mountains,Coast Range,ElasticNet,mae,qmd,3.2185790668309537
Blue Mountains,Coast Range,ElasticNet,mape,qmd,0.2565824708294583
Blue Mountains,Coast Range,ElasticNet,bias,qmd,-1.1301429552612368
Blue Mountains,Coast Range,ElasticNet,rel_bias,qmd,0.09009406506112223
Blue Mountains,Coast Range,ElasticNet,rmse,tcuft,5927.3901648893025
Blue Mountains,Coast Range,ElasticNet,nrmse,tcuft,3.2009006493919436
Blue Mountains,Coast Range,ElasticNet,mae,tcuft,5739.739505291809
Blue Mountains,Coast Range,ElasticNet,mape,tcuft,3.0995658120595913
Blue Mountains,Coast Range,ElasticNet,bias,tcuft,-5739.739505291809
Blue Mountains,Coast Range,ElasticNet,rel_bias,tcuft,3.0995658120595913
Blue Mountains,Coast Range,Lasso,rmse,total_cover,10.581964330552236
Blue Mountains,Coast Range,Lasso,nrmse,total_cover,0.3264852878754773
Blue Mountains,Coast Range,Lasso,mae,total_cover,9.054864726231049
Blue Mountains,Coast Range,Lasso,mape,total_cover,0.27936969209787266
Blue Mountains,Coast Range,Lasso,bias,total_cover,2.6898631025539634
Blue Mountains,Coast Range,Lasso,rel_bias,total_cover,-0.08299033165774479
Blue Mountains,Coast Range,Lasso,rmse,topht,16.66299141889042
Blue Mountains,Coast Range,Lasso,nrmse,topht,0.2799672406811002
Blue Mountains,Coast Range,Lasso,mae,topht,14.942832597999825
Blue Mountains,Coast Range,Lasso,mape,topht,0.2510655803182418
Blue Mountains,Coast Range,Lasso,bias,topht,-9.087304406432091
Blue Mountains,Coast Range,Lasso,rel_bias,topht,0.15268252115966155
Blue Mountains,Coast Range,Lasso,rmse,qmd,4.008305283602437
Blue Mountains,Coast Range,Lasso,nrmse,qmd,0.31953879403003727
Blue Mountains,Coast Range,Lasso,mae,qmd,3.244546936266581
Blue Mountains,Coast Range,Lasso,mape,qmd,0.2586526079811705
Blue Mountains,Coast Range,Lasso,bias,qmd,-1.1866320830847712
Blue Mountains,Coast Range,Lasso,rel_bias,qmd,0.09459733177944916
Blue Mountains,Coast Range,Lasso,rmse,tcuft,5877.626204599489
Blue Mountains,Coast Range,Lasso,nrmse,tcuft,3.174027187652994
Blue Mountains,Coast Range,Lasso,mae,tcuft,5687.447374728705
Blue Mountains,Coast Range,Lasso,mape,tcuft,3.0713270914724076
Blue Mountains,Coast Range,Lasso,bias,tcuft,-5687.447374728705
Blue Mountains,Coast Range,Lasso,rel_bias,tcuft,3.0713270914724076
Blue Mountains,Coast Range,KNeighborsRegressor,rmse,total_cover,19.18387074467458
Blue Mountains,Coast Range,KNeighborsRegressor,nrmse,total_cover,0.5918798596360577
Blue Mountains,Coast Range,KNeighborsRegressor,mae,total_cover,17.68742426744014
Blue Mountains,Coast Range,KNeighborsRegressor,mape,total_cover,0.545710004621565
Blue Mountains,Coast Range,KNeighborsRegressor,bias,total_cover,17.571656668485915
Blue Mountains,Coast Range,KNeighborsRegressor,rel_bias,total_cover,-0.542138227521344
Blue Mountains,Coast Range,KNeighborsRegressor,rmse,topht,12.620631360412633
Blue Mountains,Coast Range,KNeighborsRegressor,nrmse,topht,0.21204856011762677
Blue Mountains,Coast Range,KNeighborsRegressor,mae,topht,10.04843288777739
Blue Mountains,Coast Range,KNeighborsRegressor,mape,topht,0.16883115150446296
Blue Mountains,Coast Range,KNeighborsRegressor,bias,topht,-2.9876525130309166
Blue Mountains,Coast Range,KNeighborsRegressor,rel_bias,topht,0.05019775916339749
Blue Mountains,Coast Range,KNeighborsRegressor,rmse,qmd,5.763939568046173
Blue Mountains,Coast Range,KNeighborsRegressor,nrmse,qmd,0.4594965123964263
Blue Mountains,Coast Range,KNeighborsRegressor,mae,qmd,4.668491258450385
Blue Mountains,Coast Range,KNeighborsRegressor,mape,qmd,0.3721682758964643
Blue Mountains,Coast Range,KNeighborsRegressor,bias,qmd,-4.496690237787726
Blue Mountains,Coast Range,KNeighborsRegressor,rel_bias,qmd,0.35847244010764495
Blue Mountains,Coast Range,KNeighborsRegressor,rmse,tcuft,670.4040121982365
Blue Mountains,Coast Range,KNeighborsRegressor,nrmse,tcuft,0.36203060340307053
Blue Mountains,Coast Range,KNeighborsRegressor,mae,tcuft,529.0082614778185
Blue Mountains,Coast Range,KNeighborsRegressor,mape,tcuft,0.2856742749495849
Blue Mountains,Coast Range,KNeighborsRegressor,bias,tcuft,16.420307779925153
Blue Mountains,Coast Range,KNeighborsRegressor,rel_bias,tcuft,-0.008867270817992389
Blue Mountains,Coast Range,RandomForestRegressor,rmse,total_cover,31.175438376629046
Blue Mountains,Coast Range,RandomForestRegressor,nrmse,total_cover,0.961855630494907
Blue Mountains,Coast Range,RandomForestRegressor,mae,total_cover,28.702162841049397
Blue Mountains,Coast Range,RandomForestRegressor,mape,total_cover,0.885547673861778
Blue Mountains,Coast Range,RandomForestRegressor,bias,total_cover,28.64993662915954
Blue Mountains,Coast Range,RandomForestRegressor,rel_bias,total_cover,-0.8839363388306936
Blue Mountains,Coast Range,RandomForestRegressor,rmse,topht,11.109245967423076
Blue Mountains,Coast Range,RandomForestRegressor,nrmse,topht,0.18665465649949822
Blue Mountains,Coast Range,RandomForestRegressor,mae,topht,8.450529411764702
Blue Mountains,Coast Range,RandomForestRegressor,mape,topht,0.1419835935955722
Blue Mountains,Coast Range,RandomForestRegressor,bias,topht,-0.8317764705882356
Blue Mountains,Coast Range,RandomForestRegressor,rel_bias,topht,0.013975291559596764
Blue Mountains,Coast Range,RandomForestRegressor,rmse,qmd,5.030086327425479
Blue Mountains,Coast Range,RandomForestRegressor,nrmse,qmd,0.40099433681058344
Blue Mountains,Coast Range,RandomForestRegressor,mae,qmd,3.9719815178393385
Blue Mountains,Coast Range,RandomForestRegressor,mape,qmd,0.3166430933572237
Blue Mountains,Coast Range,RandomForestRegressor,bias,qmd,-3.4392810300400254
Blue Mountains,Coast Range,RandomForestRegressor,rel_bias,qmd,0.27417664945961157
Blue Mountains,Coast Range,RandomForestRegressor,rmse,tcuft,836.152387647104
Blue Mountains,Coast Range,RandomForestRegressor,nrmse,tcuft,0.4515378009809522
Blue Mountains,Coast Range,RandomForestRegressor,mae,tcuft,638.3774823529411
Blue Mountains,Coast Range,RandomForestRegressor,mape,tcuft,0.34473568315523306
Blue Mountains,Coast Range,RandomForestRegressor,bias,tcuft,173.86609411764707
Blue Mountains,Coast Range,RandomForestRegressor,rel_bias,tcuft,-0.09389091625265245
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rmse,total_cover,21.48376417166436
Blue Mountains,Coast Range,HistGradientBoostingRegressor,nrmse,total_cover,0.6628384590168678
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mae,total_cover,18.71862371154904
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mape,total_cover,0.5775255954561409
Blue Mountains,Coast Range,HistGradientBoostingRegressor,bias,total_cover,18.582926625228122
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rel_bias,total_cover,-0.5733389339907042
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rmse,topht,10.254716156130204
Blue Mountains,Coast Range,HistGradientBoostingRegressor,nrmse,topht,0.17229706923721436
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mae,topht,8.057496124286354
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mape,topht,0.1353799506946709
Blue Mountains,Coast Range,HistGradientBoostingRegressor,bias,topht,-1.2231338880064424
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rel_bias,topht,0.020550776928354934
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rmse,qmd,5.328365915606019
Blue Mountains,Coast Range,HistGradientBoostingRegressor,nrmse,qmd,0.4247729397730118
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mae,qmd,4.3260828264318505
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mape,qmd,0.34487175786912866
Blue Mountains,Coast Range,HistGradientBoostingRegressor,bias,qmd,-4.118626419057038
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rel_bias,qmd,0.32833350403463685
