TARGET_ECOREGION,TRAIN_ECOREGION,MODEL,METRIC,TARGET,SCORE
Blue Mountains,Cascades,RandomForestRegressor,nrmse,total_cover,0.8446776237438955
Blue Mountains,Cascades,RandomForestRegressor,mae,total_cover,25.4260632183908
Blue Mountains,Cascades,RandomForestRegressor,mape,total_cover,0.7662166608936611
Blue Mountains,Cascades,RandomForestRegressor,bias,total_cover,24.919913793103447
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,total_cover,-0.750963803255975
Blue Mountains,Cascades,RandomForestRegressor,rmse,topht,32.81088862080965
Blue Mountains,Cascades,RandomForestRegressor,nrmse,topht,0.5336599943934267
Blue Mountains,Cascades,RandomForestRegressor,mae,topht,25.740993403339957
Blue Mountains,Cascades,RandomForestRegressor,mape,topht,0.4186701114396291
Blue Mountains,Cascades,RandomForestRegressor,bias,topht,24.60958951718779
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,topht,-0.4002681413339573
Blue Mountains,Cascades,RandomForestRegressor,rmse,qmd,4.101026850363142
Blue Mountains,Cascades,RandomForestRegressor,nrmse,qmd,0.3099580755020475
Blue Mountains,Cascades,RandomForestRegressor,mae,qmd,3.19510286037061
Blue Mountains,Cascades,RandomForestRegressor,mape,qmd,0.24148779556121835
Blue Mountains,Cascades,RandomForestRegressor,bias,qmd,-1.4269795158875087
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,qmd,0.10785196992459829
Blue Mountains,Cascades,RandomForestRegressor,rmse,tcuft,4353.405500994746
Blue Mountains,Cascades,RandomForestRegressor,nrmse,tcuft,2.1585043260929
Blue Mountains,Cascades,RandomForestRegressor,mae,tcuft,3991.058150319285
Blue Mountains,Cascades,RandomForestRegressor,mape,tcuft,1.9788453616792774
Blue Mountains,Cascades,RandomForestRegressor,bias,tcuft,3977.150170753512
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,tcuft,-1.9719495110508276
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,total_cover,27.946925851501316
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,total_cover,0.8421830790026374
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,total_cover,25.223903950478174
Blue Mountains,Cascades,HistGradientBoostingRegressor,mape,total_cover,0.7601245734989959
Blue Mountains,Cascades,HistGradientBoostingRegressor,bias,total_cover,24.417837734143866
Blue Mountains,Cascades,HistGradientBoostingRegressor,rel_bias,total_cover,-0.7358336968723644
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,topht,24.535995777000764
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,topht,0.3990711595810556
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,topht,18.343392061471974
Blue Mountains,Cascades,HistGradientBoostingRegressor,mape,topht,0.29835017935091823
Blue Mountains,Cascades,HistGradientBoostingRegressor,bias,topht,12.98241005060321
Blue Mountains,Cascades,HistGradientBoostingRegressor,rel_bias,topht,-0.21115529527060745
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,qmd,5.160686912170482
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,qmd,0.39004782019979317
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,qmd,4.095669824397233
Blue Mountains,Cascades,HistGradientBoostingRegressor,mape,qmd,0.30955318825809774
Blue Mountains,Cascades,HistGradientBoostingRegressor,bias,qmd,-3.4722528240008104
Blue Mountains,Cascades,HistGradientBoostingRegressor,rel_bias,qmd,0.26243495647645904
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,tcuft,2530.42713879382
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,tcuft,1.254635692609222
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,tcuft,1984.888774582787
Blue Mountains,Cascades,HistGradientBoostingRegressor,mape,tcuft,0.9841470099146988
Blue Mountains,Cascades,HistGradientBoostingRegressor,bias,tcuft,1723.9530099820388
