TARGET_ECOREGION,TRAIN_ECOREGION,WEIGHTED,MODEL,METRIC,TARGET,SCORE
North Cascades,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,1.7386931261293335
North Cascades,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,80.03215757933033
North Cascades,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,1.3091551036850386
North Cascades,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,26.190499268863174
North Cascades,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.42842061020165234
Northern Rockies,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,67.51468604123703
Northern Rockies,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,1.705938533804276
Northern Rockies,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,63.98646780788315
Northern Rockies,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,1.6167886940749918
Northern Rockies,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,-57.27163709375235
Northern Rockies,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,1.4471205946601235
Northern Rockies,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,46.76154011052945
Northern Rockies,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,1.1815549749555623
Northern Rockies,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,42.96588254541239
Northern Rockies,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,1.0856475675286215
Northern Rockies,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,-34.47510235881985
Northern Rockies,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.8711053700943775
Puget Lowland,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,150.8686246928859
Puget Lowland,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,2.2427379319612584
Puget Lowland,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,94.27624141381945
Puget Lowland,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,1.4014637114371462
Puget Lowland,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,33.936375776485164
Puget Lowland,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.5044812821893736
Puget Lowland,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,115.0049358514073
Puget Lowland,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,1.7096061724017604
Puget Lowland,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,67.58690709494205
Puget Lowland,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,1.0047133428460002
Puget Lowland,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,43.30126711237871
Puget Lowland,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.6436950986502734
Willamette Valley,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,199.33681703239614
Willamette Valley,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,3.079943633630267
Willamette Valley,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,156.79180145872013
Willamette Valley,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,2.422582631234267
Willamette Valley,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,149.40320401501742
Willamette Valley,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-2.3084217652338297
Willamette Valley,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,36.66691118482745
Willamette Valley,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,0.5665386923994179
Willamette Valley,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,33.0522164578537
Willamette Valley,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,0.5106882169197661
Willamette Valley,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,28.279468333845042
Willamette Valley,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.4369447137460786
Blue Mountains,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,22.648304579573033
Blue Mountains,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.8516771917109637
Blue Mountains,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,21.010402576314615
Blue Mountains,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.7900847765466499
Blue Mountains,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,20.7261196485066
Blue Mountains,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.7793944714619474
Blue Mountains,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,29.371017120538905
Blue Mountains,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,1.1044811452013237
Blue Mountains,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,27.52346885894696
Blue Mountains,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,1.0350050963670863
Blue Mountains,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,27.52346885894696
Blue Mountains,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,-1.0350050963670863
Coast Range,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,14.741415361119218
Coast Range,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.21409484367990841
Coast Range,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,11.594592085113895
Coast Range,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.16839240460871832
Coast Range,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,-3.8455319753065527
Coast Range,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.055850035220555476
Coast Range,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,17.78373702764674
Coast Range,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.2582795685291346
Coast Range,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,14.395801702114525
Coast Range,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.2090753729923507
Coast Range,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,-10.265642411692506
Coast Range,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.14909159355226792
Eastern Cascades,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,22.04054261243558
Eastern Cascades,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.5110772901511711
Eastern Cascades,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,18.76523490919017
Eastern Cascades,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.4351292785790121
Eastern Cascades,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,16.16287154489264
Eastern Cascades,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.37478553661217606
Eastern Cascades,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,17.583762779393297
Eastern Cascades,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.40773323914824816
Eastern Cascades,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,14.112286885702716
Eastern Cascades,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.327236469001969
Eastern Cascades,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,8.318197080481138
